Bloque,Unidad,Contenido,Duracion
Aritmética y álgebra,Números reales,Diferentes tipos de números reales.,1
Aritmética y álgebra,Números reales,Representación en la recta real. Distancia entre dos números reales: valor absoluto.,1
Aritmética y álgebra,Números reales,Subconjuntos de números reales: intervalos.,1
Aritmética y álgebra,Números reales,"Operaciones con números reales: radicales (propiedades), potencias de exponente racional…",1
Aritmética y álgebra,Números reales,Aproximaciones de números reales. Error.,1
Aritmética y álgebra,Números reales,Utilización de la calculadora y el ordenador como herramientas que facilitan el cálculo y en la elección del mejor método de resolución de los problemas numéricos.,1
Aritmética y álgebra,Números reales,Definición y propiedades del logaritmo.,1
Aritmética y álgebra,Sucesiones,Concepto de sucesión.,1
Aritmética y álgebra,Sucesiones,Criterio de formación de una sucesión. Sucesiones recurrentes.,1
Aritmética y álgebra,Sucesiones,Término general y suma de las progresiones aritméticas y geométricas.,1
Aritmética y álgebra,Sucesiones,Monotonía y acotación.,1
Aritmética y álgebra,Sucesiones,El número e.. Idea intuitiva del concepto de límite. Cálculo del límite para términos avanzados con ayuda de la calculadora.,1
Aritmética y álgebra,Inecuaciones y sistemas,Resolución de inecuaciones con una incógnita:,1
Aritmética y álgebra,Inecuaciones y sistemas,Resolución de inecuaciones con dos incógnitas.,1
Aritmética y álgebra,Inecuaciones y sistemas,Sistemas de inecuaciones con una y dos incógnitas.,1
Aritmética y álgebra,Inecuaciones y sistemas,Interpretación gráfica de inecuaciones y sistemas de inecuaciones con una y dos incógnitas.,1
Aritmética y álgebra,Inecuaciones y sistemas,"Planteamiento y resolución (algebraica, gráfica o ambas) de problemas extraídos de contextos cotidianos o científicos mediante inecuaciones y sistemas de inecuaciones.",1
Aritmética y álgebra,El binomio de Newton.,Generalización de las potencias de un binomio.,1
Aritmética y álgebra,El binomio de Newton.,Factoriales y números combinatorios.,1
Aritmética y álgebra,El binomio de Newton.,El triángulo aritmético: algunas propiedades.,1
Aritmética y álgebra,Números complejos,El plano complejo. Representación gráfica.,1
Aritmética y álgebra,Números complejos,"Formas de expresar un complejo: binomial, polar y trigonométrica. Paso de unas a otras.",1
Aritmética y álgebra,Números complejos,Operaciones elementales con números complejos en cualquiera de sus formas.,1
Aritmética y álgebra,Números complejos,La fórmula de Moivre.,1
Aritmética y álgebra,Números complejos,Obtención de las raíces n-ésimas de un número complejo.,1
Aritmética y álgebra,Números complejos,Resolución de ecuaciones de segundo grado con soluciones no reales e interpretación de la solución.,1
Geometría,Trigonometría,Obtención de las razones trigonométricas de un ángulo agudo y del ángulo que corresponde a una razón trigonométrica. Relación entre las razones trigonométricas,1
Geometría,Trigonometría,Cálculo de las razones trigonométricas de un ángulo cualquiera: representación mediante la circunferencia unidad y reducción al primer cuadrante.,1
Geometría,Trigonometría,"Obtención de fórmulas trigonométricas que permiten calcular, dada una razón trigonométrica, las demás razones.",1
Geometría,Trigonometría,Resolución de triángulos rectángulos. Aplicación de la estrategia de la altura para resolver triángulos no rectángulos.,1
Geometría,Trigonometría,Teorema del seno y del coseno.,1
Geometría,Trigonometría,Planteamiento y resolución de problemas de medidas indirectas con triángulos rectángulos y no rectángulos extraídos de diferentes contextos.,1
Geometría,Trigonometría,Una nueva unidad para medir ángulos: el radián. Expresión y transformación de medidas de ángulos en radianes. Relación entre grados y radianes. Transformación de grados a radianes y viceversa.,1
Geometría,Trigonometría,"Fórmulas trigonométricas: razones trigonométricas del ángulo suma, de la diferencia de dos ángulos, del ángulo doble y del ángulo mitad. Sumas y diferencias de senos y cosenos",1
Geometría,Trigonometría,"Aplicación de las formulas trigonométricas para la resolución de ecuaciones trigonométricas, simplificación de expresiones trigonométricas y comprobación de igualdades trigonométricas.",1
Geometría,Trigonometría,"Identificación de las funciones trigonométricas seno, coseno y tangente.",1
Geometría,Vectores,"Definición de vector: módulo, dirección y sentido. Representación.",1
Geometría,Vectores,"Operaciones con vectores: suma, resta, producto de un vector por un escalar. Interpretación gráfica de dichas operaciones.",1
Geometría,Vectores,Expresión de un vector como combinación lineal de otros.,1
Geometría,Vectores,Coordenadas de un vector respecto a una base. Tipos de bases. Vectores libres y ligados.,1
Geometría,Vectores,"Producto escalar de vectores: definición, propiedades, expresión analítica e interpretación geométrica. Obtención de vectores a partir de ciertas condiciones.",1
Geometría,Vectores,Cálculo del ángulo de dos vectores.,1
Geometría,Geometría analítica del plano,Sistema de referencia en el plano. Coordenadas de un punto.,1
Geometría,Geometría analítica del plano,"Aplicaciones de los vectores a problemas geométricos: coordenadas de un vector que une dos puntos, punto medio de un segmento…..",1
Geometría,Geometría analítica del plano,Ecuaciones de la recta en el plano: vector de dirección y pendiente. Diferentes tipos de ecuaciones. Paso de un tipo de ecuación a otro.,1
Geometría,Geometría analítica del plano,Haz de rectas,1
Geometría,Geometría analítica del plano,Posiciones relativas de rectas: Intersección de dos rectas.,1
Geometría,Geometría analítica del plano,Caracterización de paralelismo y perpendicularidad. Relación entre las pendientes de rectas paralelas o perpendiculares.,1
Geometría,Geometría analítica del plano,Obtención de una recta paralela o perpendicular a otra que pasa por un punto.,1
Geometría,Geometría analítica del plano,Cálculo de la medida del ángulo determinado por dos rectas.,1
Geometría,Geometría analítica del plano,"Cálculo de distancias entre dos puntos, un punto y una recta y dos rectas.",1
Geometría,Lugares geométricos del plano,Concepto de lugar geométrico.,1
Geometría,Lugares geométricos del plano,Mediatriz de un segmento y bisectriz del ángulo determinado por dos rectas.,1
Geometría,Lugares geométricos del plano,La circunferencia: ecuación y propiedades. Estudio de la posición relativa de una recta y circunferencia. Potencia de una circunferencia.,1
Geometría,Lugares geométricos del plano,"Elipse, hipérbola y parábola: definición como lugar geométrico",1
Geometría,Lugares geométricos del plano,Obtención de la ecuación reducida de una cónica.,1
Geometría,Lugares geométricos del plano,Cálculo de los elementos más importantes de una cónica a partir de su ecuación reducida.,1
Geometría,Lugares geométricos del plano,Identificación del tipo de cónica a partir de su ecuación reducida.,1
Geometría,Lugares geométricos del plano,"Resolución de problemas de lugares geométricos, identificando la figura resultante",1
Geometría,Lugares geométricos del plano,Utilización de programas informáticos de geometría dinámica y de la calculadora para representar gráficamente y resolver diferentes tipos de problemas geométricos.,1
Funciones,Funciones reales de variable real,"Clasificación características básicas y gráficas de las funciones elementales: polinómicas, de proporcionalidad inversa, valor absoluto, parte entera, racionales e irracionales sencillas, exponenciales, logarítmicas trigonométricas y definidas a trozos sencillas.",1
Funciones,Funciones reales de variable real,"Obtención del dominio, recorrido, monotonía, acotación, extremos, simetría y periodicidad de una función dada por su expresión analítica.",1
Funciones,Funciones reales de variable real,"Operaciones con funciones, composición de funciones, función inversa.",1
Funciones,Límites y continuidad,Idea intuitiva del límite de una función. Límites laterales. Límites infinitos y límites en el infinito de funciones. Indeterminaciones,1
Funciones,Límites y continuidad,Estudio de la continuidad o discontinuidad de una función. Tipos de discontinuidades.,1
Funciones,Límites y continuidad,Reconocimiento sobre la gráfica de la causa de la discontinuidad de una función en un punto.,1
Funciones,Límites y continuidad,"Obtención de las asíntotas (horizontales, verticales y oblicuas) de una función.",1
Funciones,Introducción a la derivada,Tasas de variación media e instantánea de una función.,1
Funciones,Introducción a la derivada,Obtención de la derivada de una función en un punto por la definición.,1
Funciones,Introducción a la derivada,"Interpretación geométrica y física de la derivada. Aplicación de la derivada a la determinación de la pendiente de una recta, rectas tangente y normal a una curva, velocidad, aceleración.",1
Funciones,Introducción a la derivada,"Función derivada. Propiedades elementales. Derivada de la suma, el producto y el cociente de funciones y de la función compuesta. Aplicación de las reglas de derivación para el cálculo de derivadas. Cálculo de derivadas sucesivas.",1
Funciones,Introducción a la derivada,"Obtención de los extremos, monotonía, curvatura y puntos de inflexión de una función.",1
Funciones,Introducción a la derivada,Resolución de problemas de optimización.,1
Funciones,Introducción a la derivada,Representación de funciones a partir del análisis de sus características globales.,1
Funciones,Introducción a la derivada,"Interpretación y análisis de funciones sencillas, expresadas de manera analítica o gráfica, que describan situaciones reales.",1
Estadística y probabilidad,Estadística descriptiva,Estadística descriptiva unidimensional. Población y muestra. Interpretación de tablas y gráficas estadísticas. Tablas de frecuencias.,1
Estadística y probabilidad,Estadística descriptiva,"Parámetros estadísticos de una población: media y desviación típica. El coeficiente de variación de Pearson. Interpretación y cálculo de las medidas de posición: mediana, cuartiles deciles y percentiles.",1
Estadística y probabilidad,Estadística descriptiva,"Distribuciones estadísticas bidimensionales: diagrama de dispersión.Relaciones entre dos variables estadísticas: el coeficiente de correlación lineal, su cálculo e interpretación.",1
Estadística y probabilidad,Estadística descriptiva,Rectas de regresión. Estimación de valores a partir de ellas y valoración de su fiabilidad.,1
Estadística y probabilidad,Estadística descriptiva,Manejo de las tablas de doble entrada.,1
Estadística y probabilidad,Estadística descriptiva,Utilización de la hoja de cálculo y de la calculadora para la realización de cálculos y gráficos estadísticos.,1
Estadística y probabilidad,Distribuciones de probabilidad,Sucesos: operaciones. Propiedades de las operaciones con sucesos. Leyes de Morgan.,1
Estadística y probabilidad,Distribuciones de probabilidad,Propiedades de la probabilidad de un suceso. Aplicación de la Ley de Laplace para el cálculo de probabilidades sencillas.,1
Estadística y probabilidad,Distribuciones de probabilidad,"Probabilidad compuesta, condicionada, total y a priori.",1
Estadística y probabilidad,Distribuciones de probabilidad,Teorema de la probabilidad total y teorema de Bayes.,1
Estadística y probabilidad,Distribuciones de probabilidad,Variables aleatorias discretas: la función de probabilidad; cálculo de parámetros. La distribución binomial. Identificación de variables aleatorias binomiales y asignación de probabilidades usando la función de probabilidad correspondiente. Utilización de la tabla de distribución binomial en la resolución de problemas de cálculo probabilístico.,1
Estadística y probabilidad,Distribuciones de probabilidad,Función de densidad de una variable aleatoria continua. La distribución normal.,1
Estadística y probabilidad,Distribuciones de probabilidad,"Obtención de un intervalo al que corresponde una determinada probabilidad. Asignación de probabilidades en situaciones que corresponden a una variable N(μ, σ), una vez tipificada. Utilización de la tabla de distribución binomial en la resolución de problemas de cálculo probabilístico.",1
Estadística y probabilidad,Distribuciones de probabilidad,Aproximación de la distribución binomial a la normal. Cálculo de la probabilidad de una binomial pasándola a normal. Corrección de Yates.,1
